D,Lat,Lon
268.7,12.5,57
176,-29.9,204.2
150.7,-55.6,321.6
141.9,78.2,104.7
107,-23.2,199.3
105,65.9,7
105,62.5,40.4
102.2,9.7,288.8
100.9,-1.7,62.4
98.1,51.9,143.4
96.6,23.4,140.4
93.6,-67.5,229.6
92.3,22.9,145.1
89.6,31.7,53
87.6,-36.1,127
87.1,-56.2,98.8
84.1,-6.2,6
83.8,33.8,288.6
82.5,25.6,25.2
75.3,-43.2,233.2
73.7,-26.6,99.3
73,61.4,223
72.9,16.6,268
72.5,64.3,139.6
72.4,24.5,228.8
71.8,-4.1,155.6
69.8,24.4,220.1
69.5,-3,68.7
68.7,-52,146
68.5,-35.2,307.8
67.7,74.7,177
66.6,-30.8,20.2
63.9,18.2,326.5
63.8,-37,329
63.8,48.2,195.3
62.7,-59.5,354.4
62.7,-26.5,340
62.5,5.1,94.6
62.2,15.2,217.4
60.3,60.3,154.4
58.6,26.4,42.8
57.6,17.3,141.4
57.3,-63,289
56.8,-3.9,16.1
55.6,81.1,285.3
55.6,-52.3,195.7
55.5,-52.4,329.4
54.7,25.4,72.9
53.3,2,96.1
53.3,66.3,125.7
52.5,-44.4,271.1
52.3,-77.6,94.8
52,23.6,112.5
51.5,-17,155
50.3,59.6,65.6
50.2,-16.8,105.6
50,55.6,61.9
50,27.4,337.5
49.4,-11.7,176.5
48.9,7.2,309.4
48.7,-1.7,64.6
48.5,14.5,350.9
48.4,-24.7,296
48.3,24.4,111.3
48.2,47.1,288.5
48.1,-61.2,211.5
47.9,35.3,56.1
47.9,45.3,146.2
47.8,70.7,300.2
47.6,-26.4,337.2
47.4,-63.6,46.6
47.2,75.1,242.2
47.1,48.4,39
46.8,59.4,263.5
46.6,-39.2,260.8
46.5,35,301.6
46.2,-15.1,203.5
46.1,28.7,287.8
45.3,78.2,306.5
45.3,84,16.5
45.1,0.3,151.8
45.1,1,260
44.9,-6.6,284.8
44.9,70.7,289.8
44,8.6,298.8
43.9,-25,168.5
43.7,25.7,91.3
43,55.6,222.3
43,-61.1,181.8
42.9,59.4,280
42.9,53.7,243.9
42.8,20.5,78.5
42.8,13.1,253.5
42.4,40.3,87.2
41.7,61.4,307.9
41.4,-39.5,37.7
41.3,-30.2,151.3
41.1,23.6,204.6
41,68.1,291.7
40.9,64.6,147.3
40.7,-42,271.9
40.6,-10.9,11.7
40,-45.5,335.5
39.4,29.9,282.9
39.3,70.2,107.6
39.3,40,52
38.8,-47.8,95.7
38.8,0.8,5.3
38.5,-54.3,18.9
38.5,-29.4,28.5
38.5,-45.7,174.8
38.4,-26.3,31.3
38.4,-33.3,65.7
38.3,17.2,146.9
38.1,-23.3,119.7
38.1,30.3,228.4
38,2.3,198.2
37.6,-21.8,317.1
37.6,-24.2,344.1
37.6,-46.1,314.7
37.6,-43.6,101.7
37.5,17.4,170.4
37.5,56.3,242.5
37.3,-28.6,337.1
37.1,-6.2,117.6
37.1,-12.9,327.4
36.7,14.7,194.1
36.7,-14.6,292.3
36.7,19,124.3
36.3,-32.2,314.9
36.3,-52,36.7
36.2,45.2,49.8
35.9,-6,128
35.9,-38,63.7
35.5,11.5,27.2
35.5,-82,171.4
35.4,-10.4,302.1
35.4,25.8,122.5
35.3,17.4,122.6
35.3,26.7,336.7
35.2,16.5,47.7
34.9,-59.9,178.9
34.6,17.3,215.3
34.4,21.2,147.9
34.3,-38.5,274.7
34.3,5.5,288.8
34.2,4.8,356.3
34,11.3,89.3
33.4,-5,303.7
33.3,18.2,210.8
33.2,-15.3,39.3
33,84.5,74.2
32.9,17.9,240.1
32.9,21.2,140.7
32.8,-68.8,208.5
32.7,-15.1,49.4
32.7,41.2,81.1
32.4,59.7,26.9
32.4,-78.1,309.2
32.4,65.3,169.3
32.1,-14,115.1
32,76,127.5
31.9,16.6,190.4
31.7,-50.9,39.4
31.7,23.2,178.5
31.5,9.7,37.2
31.4,-56.2,251.6
31.4,-19,64.7
31.3,2.4,27
31.3,-61.6,156.3
31.1,-26.9,97.6
31.1,-32,97.1
31,-82.5,357.7
31,41.7,122.6
31,44.1,201.5
31,20.3,331.8
30.8,6.3,141.7
30.8,-73.8,185.2
30.6,2,188.7
30.6,-24,295.7
30.6,-63,199.8
30.5,-23.6,190.6
30.1,-15.3,121
30.1,11,183.9
30.1,-63,97.7
30.1,-28.9,294.3
30.1,28.6,79.3
30.1,60.3,286.4
30,71.2,321
29.9,78.4,174.8
29.8,-19.3,40.6
29.8,-15.4,46.5
29.7,-23,300.4
29.6,-26,143.9
29.5,-26.5,356.5
29.3,-22.6,137.2
29.3,32.2,22.8
29.2,-63.5,53
29,8.9,76.2
29,15.7,111.3
29,52.6,326.5
28.9,-5,191
28.9,25.2,133.6
28.6,-9.6,292.3
28.3,-55.5,238.7
28.1,34.6,119.9
28,26.1,303
27.8,-5,102.8
27.7,19,290.4
27.7,-31.5,230.4
27.7,-17.5,26.5
27.7,-58.5,269.6
27.7,81,223.4
27.6,-54.8,246.4
27.5,-76,277.6
27.4,-25.5,317.4
27.2,-54.2,165.3
27.2,-52.6,13.8
27.2,-23.3,34.6
27,3.7,52.3
27,15,54.3
26.9,2.5,196.1
26.8,-20.3,275.3
26.8,-11.4,218.4
26.8,16.5,109.4
26.7,-22.6,306.4
26.6,58.6,337.2
26.6,-20.7,188.1
26.5,47.1,107
26.4,-22.7,324.1
26.3,-46.7,12.9
26.2,-49.1,167.7
26.1,-58,13.6
26.1,-9.2,229
26.1,72.3,122.4
26.1,37.8,41.7
26.1,-52.9,127.2
26,-9.8,245.6
25.9,-13,272.5
25.9,-59.1,202
25.8,-32.5,142
25.8,-39,80.7
25.6,17.9,267.8
25.5,-12.6,58.1
25.5,-4,266.4
25.5,30,147.3
25.2,-63.8,59.5
25,49.4,27.1
25,31.6,84.4
25,-10.7,235
24.9,23,81.3
24.9,-50.5,93.3
24.8,1.5,190.9
24.7,50.2,355
24.7,23.4,97.8
24.6,-37.7,27.2
24.5,29.5,0.5
24.3,46.4,144.1
24.3,36.1,32
24.3,28.3,72.7
24,-23.3,258.9
24,51.8,254.6
23.8,-30.2,53.2
23.7,13.2,217.7
23.7,1.1,284.3
23.6,57.8,333
23.6,8.9,25.5
23.5,-63.3,67
23.5,-62.5,197
23.5,28.3,4.9
23.4,86.8,337.7
23.4,19.3,283.1
23.2,47.7,14.9
23.1,-11.7,174.7
23.1,15.3,4
23,57,6.4
22.9,-5.7,76.7
22.9,-58.8,252.1
22.9,26.4,13
22.8,-44.1,39.1
22.8,37.4,324.2
22.7,18.4,318.9
22.7,8,244.5
22.6,-47.8,277.7
22.6,-13.1,12.9
22.6,3.3,233.9
22.5,48.4,296.6
22.4,-1.4,110.9
22.4,22.1,4.7
22.4,23.7,94.6
22.4,37.7,305.6
22.3,45.3,283.1
22.2,4.7,193.4
22.2,-32.9,51.6
22.1,-14.8,29.6
22.1,44,11.5
22,-44.8,337.8
21.9,34.5,76.2
21.9,-5.7,349.6
21.8,-12.4,287.6
21.6,20.4,355
21.5,68.2,55.6
21.4,5.9,125.1
21.2,-59.7,213.2
21.1,13.4,199.6
21.1,28.1,290
21.1,-19.8,145.5
21.1,3,168.6
21.1,-62.3,227.6
21,32.9,336.2
21,-60.2,145.7
20.8,6.4,103.8
20.8,43.9,0
20.7,-6.5,275.6
20.7,-34.2,238.7
20.6,76.2,17.2
20.6,-30.3,248.2
20.5,36.6,273.9
20.5,4.2,299.5
20.5,42.4,148.2
20.4,-41.5,256.9
20.4,69.1,236.2
20.4,81.3,200.4
20.2,44.2,162.3
20.2,62.5,240.2
20.1,75.5,272
20,62.1,322
20,-39.4,221.4
20,56.4,234.9
20,75.9,55.3
20,82.5,273.4
19.9,14.5,166.6
19.8,71.2,323.1
19.8,-5.1,31.4
19.8,-18,353.7
19.6,68.5,94.2
19.6,-32.8,163.2
19.6,76.8,192.9
19.6,10.4,171.4
19.5,9.3,26.9
19.5,-42.4,1.8
19.5,18.2,149.5
19.5,40.1,331.5
19.4,-62.8,90
19.4,-74.2,244.8
19.3,5.3,67.3
19.3,9.6,189.3
19.3,-44.2,86.8
19.2,-72.9,142.1
19.1,9.3,54.2
19.1,17.9,102.6
19.1,45.2,260.6
19,-6.7,132.7
19,21.5,165
19,1.2,343.7
18.8,-41.7,12.4
18.8,14,72.5
18.8,7.8,359.1
18.7,-1.6,296.8
18.7,-45.7,211.6
18.7,-13.4,271.2
18.7,0.5,143.2
18.7,-33.3,208.1
18.6,3.9,166.5
18.5,3,213.6
18.5,22.9,40.6
18.5,-5.1,346.9
18.5,-52.2,111.2
18.4,-73,145
18.4,-18.2,196.6
18.4,30,120.7
18.4,48.9,141.2
18.3,-35.7,92.5
18.3,-61,212.3
18.2,17.9,266.5
18.2,33.6,22.7
18.2,-57.9,250.2
18.2,-3.5,265
18.1,-52.9,185.9
18,7.1,95.8
18,-13.8,268.9
18,85.4,212.4
17.9,-38.1,124.6
17.9,43.3,19.9
17.9,12.4,31.9
17.8,-7.3,98.6
17.8,1.1,93.7
17.7,39.5,297.8
17.6,-12.9,299.9
17.6,-17.8,240.4
17.6,-62.9,37.1
17.6,-28.7,18.8
17.5,-29.3,310.5
17.5,1.5,314.4
17.5,-47.3,253.4
17.3,-23.3,266.6
17.2,34.5,288.7
17.2,0.7,273.1
17.1,6,70.3
17.1,30.6,187.3
17.1,4.9,169.7
17.1,-18.4,73.4
17.1,-28,57.7
17,38.3,171.8
17,-43.1,239.4
17,11.4,115.6
17,33,249.9
17,47.6,307.1
16.9,-34.4,275.9
16.8,-3.8,106.7
16.8,16.1,127.2
16.7,-2.4,228.8
16.7,21.8,220.8
16.7,-32.4,58.9
16.6,-4.8,293.2
16.6,-22,342.7
16.5,-6.8,43.7
16.4,6.9,306.3
16.4,-11.5,342.4
16.3,-29.1,104.5
16.2,-32.6,249.6
16.1,64.1,289.8
16,2.9,100
16,-70,123.8
16,-5.8,239.8
15.9,23.6,350.1
15.9,-2,182.2
15.9,19.5,247.3
15.9,69.6,222
15.8,-16.7,347.5
15.7,4.8,39
15.7,19.4,21.8
15.7,35.8,252.7
15.6,72.5,337.5
15.6,63.5,314.4
15.6,-61.8,130.6
15.5,2.3,90
15.5,36.5,48.2
15.5,2.7,211.8
15.5,41.3,280.4
15.4,-62.1,67.9
15.3,23.8,348.1
15.3,-5,354.1
15.3,-52.5,104.4
15.2,26.1,283.8
15.2,39.5,23
15.2,-56,298.4
15.1,-22.8,232.7
15,62.9,2.6
15,-28.9,277.3
15,26.3,120
15,10.7,340.7
14.9,-29.2,175.5
14.9,46.6,123.3
14.9,-40.7,151.9
14.8,-29.1,94.5
14.8,-42.5,10
14.8,9.6,214.6
14.8,38.7,292.2
14.7,-19.6,40.5
14.7,-35.2,248.2
14.7,-17.8,31.9
14.6,-30.1,345.5
14.6,68.2,303.8
14.6,-22.8,281.3
14.6,-4,165.6
14.6,-60.4,220.4
14.5,45.8,253
14.5,4,300.5
14.5,-21.7,232.4
14.5,5.3,178.2
14.5,78.1,76.5
14.4,-65.3,12
14.4,45.5,281.7
14.3,-19.8,226.5
14.3,-15.2,50.1
14.3,-34.2,187.8
14.2,-19.3,282.8
14.2,34.9,91.2
14.1,62.1,329.7
14.1,-23.1,105.7
14.1,8.9,270.7
14.1,43.4,56.2
14,33.6,298.3
14,-60.8,162.2
13.9,-12.5,308.9
13.9,11,238.5
13.9,30.2,31.2
13.9,-6.4,30.9
13.9,-47,184.8
13.8,2.1,170.2
13.6,-27.3,138.7
13.6,60,273.1
13.6,51.4,291.8
13.5,-33.3,276.4
13.5,-46.6,285.6
13.5,49.8,134
13.5,25.6,336
13.4,10.6,326.4
13.3,27.5,280.3
13.3,-17.9,214.7
13.3,20.9,98.8
13.2,6,93.3
13.2,-63.5,56.5
13.1,-9,278
13.1,68.4,91
13.1,-4.8,359.2
13.1,-64.2,232.1
13,-19.8,202.6
13,-62,70.9
13,24.3,253
13,-19.3,232.6
13,36.7,1.7
13,-68.2,243.6
12.9,32.1,94.8
12.9,-2.3,159.7
12.8,41.1,67
12.8,10.6,346.3
12.7,-28.6,60
12.6,-9.3,152.8
12.6,6,331.9
12.5,-29.5,205.9
12.5,51.4,201.6
12.5,-6,1.9
12.4,75.6,96.3
12.4,57.2,144.1
12.4,-30.3,249.2
12.4,44.8,254.6
12.4,-47.5,187.2
12.3,18.4,101.9
12.3,-68.2,121.2
12.2,-46.5,306.4
12.2,-62.9,15.5
12.2,14.9,86.5
12.2,12.8,117
12.2,-68.1,193.2
12.2,30.8,172.9
12.2,11.4,347.7
12.1,-40.7,14.8
12.1,5.6,273.3
12.1,34.4,19.2
12.1,-59,248.4
12,-5,97.7
12,-49.2,55.5
12,-41.2,251.7
12,-21.4,335.2
12,65.1,299.1
12,-69.9,319.9
12,-74.5,211.9
12,-46,229.2
11.9,-33.3,280.2
11.9,-26.5,88.2
11.9,-44.8,225.6
11.9,-20.4,357.2
11.9,12.7,9.2
11.9,-62.8,144.4
11.8,-9.3,157
11.8,-48.7,13.5
11.8,51.1,335.9
11.7,1.6,283.9
11.7,-11.2,48.7
11.7,9.7,132.1
11.7,64.1,160.4
11.6,62.2,29
11.6,-15.3,85
11.6,-41.4,8.9
11.6,-31.1,46.5
11.6,-66.5,270.5
11.5,-50.1,158.1
11.5,50.9,242.6
11.5,33.7,185.1
11.5,68.5,155.9
11.4,-25.6,150.2
11.4,26.3,332.7
11.4,6.3,333.5
11.4,-51.7,348.3
11.3,-13.7,302.3
11.3,10.7,206.9
11.3,-49,275.9
11.3,41.9,22
11.3,-46.2,157.7
11.3,-39.1,97.2
11.2,-23.3,132.9
11.2,-14.5,278.9
11.2,12.4,82.7
11.2,64.4,104.5
11.2,-23.5,198.2
11.2,-74.6,195
11.2,37.2,207.9
11.2,-50.9,122
11.1,61.6,317.2
11.1,-30.9,293.3
11.1,-37.3,10.6
11.1,7.8,152.7
11.1,-21.1,303.9
11.1,-6.8,334.1
11.1,2.9,262.6
11,-27.9,0.6
11,67,272.9
11,48.8,113.1
11,15.5,124
11,40.4,149.4
11,53.5,187.3
11,28.1,106.9
10.9,-27,7.8
10.9,-12.4,307.3
10.9,37.5,22.9
10.8,-1.5,129.8
10.8,-11.8,298
10.8,51.3,333.3
10.8,23.5,165.4
10.8,-12.4,17.7
10.8,53.5,172.6
10.8,0.9,338.7
10.7,-7.7,102
10.7,-14,87.7
10.7,-68.2,315.3
10.6,-15.8,267
10.6,12.2,132.4
10.6,-22.7,318.4
10.6,4.9,170.9
10.6,-41.7,238.1
10.5,67,329.7
10.5,-26.1,169
10.5,28.4,250.1
10.5,34.9,205.8
10.5,-57.2,151.9
10.5,59.1,215.4
10.4,7.4,249.6
10.3,-0.8,87.4
10.3,0,142.6
10.3,61.6,267.7
10.3,-36.1,240.4
10.3,12.4,124.5
10.3,-51.5,184.6
10.2,-18.9,109.2
10.2,-12.4,2.8
10.2,72,175.4
10.2,80,229.7
10.1,-62.4,33.8
10.1,-62.2,178.6
10.1,-45.3,348.8
10,87.3,259
10,7.8,57.6
10,-60.4,304.8
10,21.2,160.2
9.9,38.1,226.6
9.9,31.3,317.7
9.8,59,23.2
9.8,28.2,302
9.8,-69,72
9.7,-10.1,91.1
9.7,-36.3,312.6
9.6,-12.1,5.4
9.6,29.7,155.5
9.6,29.5,113.4
9.5,-65,234.1
9.5,28.2,60
9.5,-35.7,68.7
9.5,9.3,358
9.4,-30.5,34
9.4,57.8,285.7
9.4,2.9,5
9.3,-12.3,90.1
9.3,-2,135.7
9.3,55,53.6
9.3,-10.8,161.4
9.3,-28.4,224
9.3,43.9,103.4
9.3,-33,162.9
9.2,-4.6,99.8
9.2,71.1,100.7
9.2,16.4,352.1
9.2,26.5,334.6
9.1,-10.4,116.7
9.1,72.7,235.6
9.1,-65.1,315.9
9.1,59.9,143.5
9.1,44.2,73.7
9,22.6,192.1
9,-38.2,331.4
9,27.4,230.1
9,13.5,293.3
9,-67.1,241.9
8.9,-10,83.3
8.9,-47.5,211.7
8.9,21.2,76.5
8.9,-75.1,94.5
8.9,57,186.8
8.8,-39.3,110
8.8,10.5,286.5
8.8,6.6,25.2
8.8,28.5,14.6
8.8,34.4,346.5
8.8,13.3,336.7
8.7,-16,225.4
8.7,-54.8,305.4
8.6,71,334.8
8.6,-29.5,108
8.6,-64,107.6
8.6,6.2,166.8
8.5,20.4,350.1
8.5,-39.5,69.1
8.4,-53.4,61.9
8.4,-43.8,70.3
8.4,-76.8,205
8.3,-72.3,65.9
8.3,-35.8,179
8.3,49.8,75.4
8.3,40.8,199.5
8.2,-33.9,63.4
8.1,13.2,168.6
8.1,51.4,121.9
8,-35.4,11.3
8,18.7,8.3
8,-34,234.8
8,11.9,352
8,-14.1,318.5
8,48.3,259.3
8,42,320
8,62.9,175.6
7.9,-8.8,317.6
7.8,6.2,97.4
7.8,5.1,297.6
7.8,45.8,134.7
7.8,58.5,185.3
7.7,-4.2,286.3
7.7,-42.4,125.1
7.7,15,32.3
7.7,8,148
7.7,49.9,81.1
7.6,-30.4,166.5
7.6,-42.6,303.4
7.6,14,208
7.6,45.3,5.6
7.6,50.3,357.5
7.6,10.5,286.5
7.6,-57.7,298.7
7.6,42.7,156.3
7.5,25.1,285.2
7.5,72.1,99.9
7.5,-75.7,88.1
7.5,-15.9,68.4
7.5,-5.3,358.3
7.5,-48.4,100.7
7.5,15.9,331.7
7.5,50,323.9
7.4,26,356.8
7.4,-42.7,329.1
7.4,6.2,282.6
7.4,-62.1,153
7.3,-49.4,70
7.3,46.5,123.1
7.3,17.3,75.2
7.3,-75.9,300.1
7.2,26.7,16.4
7.2,6,299.2
7.2,11.9,214.7
7.2,-11.2,13.5
7.2,40.7,138.2
7.2,-43.9,55
7.1,16.7,313.5
7.1,-66.5,234.1
7.1,32.4,106
7,-15.1,135.6
7,-12.3,210.9
7,54.2,139.4
7,29,182
7,-32.7,193.7
7,-44.1,258.9
7,10.9,149
7,-54.9,312.7
7,-58.5,196.3
7,30.1,307.8
6.9,60.7,88.6
6.9,53.3,75.1
6.9,-74.4,129.9
6.9,-53,192.4
6.9,-40.5,345.2
6.9,26.5,10
6.8,64.6,333.9
6.8,-34.5,281.2
6.8,-23.3,195.4
6.7,80.6,105.5
6.7,-9,202.5
6.7,19.6,65.8
6.7,-53.3,198.6
6.7,-8.7,22.9
6.7,-55.4,129
6.7,66.1,178
6.6,-2.6,272.3
6.6,2.4,145.1
6.6,7.6,155.7
6.6,34.7,357
6.5,78.6,336.8
6.5,-24.6,347.9
6.4,-54.1,55
6.4,-0.2,146.5
6.4,21.9,37.2
6.4,22.7,31.5
6.4,20.6,69.4
6.4,-53.9,135.2
6.4,42.6,349.5
6.3,-25.5,158.7
6.3,-29.6,258.6
6.3,32.6,208.7
6.3,13.1,4.3
6.3,-25.3,239.8
6.3,34.6,5.5
6.3,61.2,154.1
6.2,-1.2,24.6
6.2,-56.2,295.3
6.1,35.2,287.3
6.1,-58.6,18.1
6.1,-26.8,329.2
6.1,18.4,294.3
6.1,42.7,226.8
6.1,17.5,314.5
6.1,16.5,334.4
6,22.7,58
6,-14.7,359.5
6,50.6,179.3
6,27.8,108
5.9,-22.5,343.4
5.9,40,290
5.9,-61.3,182.7
5.9,35.8,164.4
5.9,-41.6,96.4
5.8,-1.3,156.5
5.8,-25.6,73
5.8,32.2,11.3
5.7,1.5,69.9
5.7,36.7,3.6
5.6,6.6,97.9
5.6,-8.9,58.4
5.6,22.5,207.7
5.6,55.1,350.6
5.6,2.6,50.4
5.5,-68.4,112
5.5,-51.8,132.6
5.5,23.8,74.7
5.4,27.3,289.8
5.4,-28,138.8
5.4,20,50.2
5.4,-30.4,76.4
5.3,5.8,84.3
5.3,38.2,280.5
5.3,68.8,271.1
5.3,15.3,23.5
5.3,28.6,244.1
5.2,-61,53.4
5.2,17,64.5
5.2,-20.4,58.8
5.1,-12.9,275.3
5.1,6.4,83.4
5.1,48.3,191.5
5.1,7.3,282
5.1,69.1,167
5,4.3,3.8
5,5,166.6
5,-15.9,60.7
4.9,73.5,172.9
4.9,51.8,108
4.9,-61,286.2
4.9,6.7,64.2
4.8,-14.7,184
4.8,55,124.5
4.7,-21.6,176.3
4.7,-27.3,114.3
4.7,60.6,359.9
4.7,-41.6,142.9
4.7,-25,48.3
4.7,-38.3,88.1
4.7,52.5,191.7
4.6,-46.3,126
4.6,-26.1,130.4
4.6,9.6,23
4.6,41.6,308.3
4.5,-5.7,232
4.5,-18.3,300.9
4.5,-48.7,354.9
4.4,40.3,105.9
4.4,6.4,272.2
4.4,-39.1,260.2
4.4,52.5,298.8
4.3,8.5,132.4
4.3,-73.9,195.5
4.3,-73.8,228.4
4.3,38.7,114.7
4.2,-30.5,149
4.2,7.9,74.2
4.2,27.5,341.8
4.2,-42,149.6
4.2,2,256.2
4.2,51.4,7.9
4.1,-26.6,167.9
4.1,-27.7,184.2
4.1,4.3,274.6
4.1,40.7,65.4
4,52.1,123.2
3.9,-10.4,248.4
3.9,43,150.9
3.8,42.7,141.7
3.8,10.4,136.5
3.8,80.9,229.2
3.7,-21,216.6
3.7,35.9,208.6
3.7,-56.9,160.6
3.7,13.2,112.8
3.6,15.1,116.8
3.6,-37.6,235.3
3.6,39.2,53.2
3.6,-3.1,169
3.6,11.9,132.3
3.6,-80.2,77.4
3.6,4.7,241.4
3.6,39.2,53.2
3.6,43.3,67.7
3.5,77.4,109
3.5,66.5,251.8
3.4,-25.1,311.2
3.3,-22.5,270
3.3,-10.3,327.6
3.3,8.3,267.7
3.2,-33.4,216.2
3.2,-38.7,359.1
3.1,22.6,94.1
3,-20.7,338.7
2.9,-5.9,46.6
2.9,67,297.2
2.8,27.3,277
2.8,-23,150.9
2.8,8.6,280.4
2.7,-6.4,274.1
2.7,29.6,135.4
2.6,-11.8,302.8
2.5,46.9,263.5
2.3,78.6,270.3
2.3,31.6,324.3
2.1,37.6,350.1
1.7,-65.1,257.3
1.5,-13.1,19.5
